,Effort,Strategy,Threshold,Listening_prob,AUCResult,AUCLow,AUCUpp,type,intervention cost,datacost,totalcost,costbenefit,mincost,maxcost
317,20,Leaders,3,0.4,6.711643836,6.493150685,6.821917808,Conventional,348,,348,0.019286333,0.018658479,0.019603212
318,20,Leaders,3,0.6,6.782876712,6.657534247,6.835616438,Conventional,348,,348,0.019491025,0.019130846,0.019642576
319,20,Leaders,3,0.8,6.816438356,6.739726027,6.835616438,Conventional,348,,348,0.019587467,0.019367029,0.019642576
320,20,Leaders,3,1,6.835616438,6.835616438,6.835616438,Conventional,348,,348,0.019642576,0.019642576,0.019642576
431,30,Leaders,1,0.2,-0.410958904,-0.410958904,-0.410958904,Conventional,502,,502,-0.000818643,-0.000818643,-0.000818643
432,30,Leaders,1,0.4,-0.410958904,-0.410958904,-0.410958904,Conventional,502,,502,-0.000818643,-0.000818643,-0.000818643
433,30,Leaders,1,0.6,-0.410958904,-0.410958904,-0.410958904,Conventional,502,,502,-0.000818643,-0.000818643,-0.000818643
434,30,Leaders,1,0.8,-0.410958904,-0.410958904,-0.410958904,Conventional,502,,502,-0.000818643,-0.000818643,-0.000818643
435,30,Leaders,1,1,-0.410958904,-0.410958904,-0.410958904,Conventional,502,,502,-0.000818643,-0.000818643,-0.000818643
436,30,Leaders,3,0.2,-0.410958904,-0.410958904,-0.410958904,Conventional,502,,502,-0.000818643,-0.000818643,-0.000818643
437,30,Leaders,3,0.4,-0.410958904,-0.410958904,-0.410958904,Conventional,502,,502,-0.000818643,-0.000818643,-0.000818643
438,30,Leaders,3,0.6,-0.410958904,-0.410958904,-0.410958904,Conventional,502,,502,-0.000818643,-0.000818643,-0.000818643
439,30,Leaders,3,0.8,-0.410958904,-0.410958904,-0.410958904,Conventional,502,,502,-0.000818643,-0.000818643,-0.000818643
440,30,Leaders,3,1,-0.410958904,-0.410958904,-0.410958904,Conventional,502,,502,-0.000818643,-0.000818643,-0.000818643
41,2,Low attitudes,1,0.2,52.26917808,30.57534247,60.73972603,Conventional,52,2200,2252,0.023210115,0.013576973,0.026971459
42,2,Low attitudes,1,0.4,70.49109589,66.21917808,73.30136986,Conventional,52,2200,2252,0.031301552,0.029404608,0.032549454
43,2,Low attitudes,1,0.6,75.84863014,74.98630137,76.93150685,Conventional,52,2200,2252,0.033680564,0.033297647,0.034161415
44,2,Low attitudes,1,0.8,76.71917808,76.34246575,77.36986301,Conventional,52,2200,2252,0.034067131,0.033899852,0.034356067
45,2,Low attitudes,1,1,77.54794521,77.54794521,77.54794521,Conventional,52,2200,2252,0.034435144,0.034435144,0.034435144
46,2,Low attitudes,3,0.2,0.547945205,0.547945205,0.547945205,Conventional,52,2200,2252,0.000243315,0.000243315,0.000243315
47,2,Low attitudes,3,0.4,0.547945205,0.547945205,0.547945205,Conventional,52,2200,2252,0.000243315,0.000243315,0.000243315
48,2,Low attitudes,3,0.6,0.547945205,0.547945205,0.547945205,Conventional,52,2200,2252,0.000243315,0.000243315,0.000243315
49,2,Low attitudes,3,0.8,0.547945205,0.547945205,0.547945205,Conventional,52,2200,2252,0.000243315,0.000243315,0.000243315
50,2,Low attitudes,3,1,0.547945205,0.547945205,0.547945205,Conventional,52,2200,2252,0.000243315,0.000243315,0.000243315
161,10,Low attitudes,1,0.2,71.93150685,69.31506849,73.93150685,Conventional,146,2200,2346,0.030661341,0.029546065,0.031513856
162,10,Low attitudes,1,0.4,83.35890411,82.24657534,84.26027397,Conventional,146,2200,2346,0.035532355,0.035058216,0.03591657
163,10,Low attitudes,1,0.6,85.93630137,85.36986301,86.32876712,Conventional,146,2200,2346,0.03663099,0.036389541,0.036798281
164,10,Low attitudes,1,0.8,86.62123288,86.31506849,86.84931507,Conventional,146,2200,2346,0.036922947,0.036792442,0.037020168
165,10,Low attitudes,1,1,87.17808219,87.17808219,87.17808219,Conventional,146,2200,2346,0.037160308,0.037160308,0.037160308
166,10,Low attitudes,3,0.2,2.739726027,2.739726027,2.739726027,Conventional,146,2200,2346,0.001167829,0.001167829,0.001167829
167,10,Low attitudes,3,0.4,2.739726027,2.739726027,2.739726027,Conventional,146,2200,2346,0.001167829,0.001167829,0.001167829
168,10,Low attitudes,3,0.6,2.739726027,2.739726027,2.739726027,Conventional,146,2200,2346,0.001167829,0.001167829,0.001167829
169,10,Low attitudes,3,0.8,2.739726027,2.739726027,2.739726027,Conventional,146,2200,2346,0.001167829,0.001167829,0.001167829
170,10,Low attitudes,3,1,2.739726027,2.739726027,2.739726027,Conventional,146,2200,2346,0.001167829,0.001167829,0.001167829
281,20,Low attitudes,1,0.2,76.50205479,73.52054795,79.46575342,Conventional,348,2200,2548,0.030024354,0.028854218,0.031187501
282,20,Low attitudes,1,0.4,85.63835616,84.36986301,86.8630137,Conventional,348,2200,2548,0.03361003,0.033112191,0.034090665
